"Site","Pollinator","filn","nPoll","nRais","nGarb","mH","P_ADOX.Viburnum","P_APIA.Apiaceae","P_ASTE.Arnica.montana","P_ASTE.Cirsium.group","P_ASTE.Crepis.group","P_ASTE.Matricaria.group","P_ASTE.Senecio.group","P_BORA.Echium.vulgare","P_BRAS.Brassicaceae","P_CAPR.Lonicera.periclymenum.group","P_CAPR.Succisa.pratensis","P_CARY.Caryophyllaceae","P_ERIC.Ericaceae","P_FABA.Astragalus.group","P_FABA.Lathyrus.group","P_FABA.Trifolium.pratense.group","P_FABA.Trifolium.repens.group","P_FABA.Vicia.group","P_GERA.Geranium.group","P_LAMI.Prunella.group","P_MALV.Tilia","P_ONAG.Epilobium.group","P_OROB.Rhinanthus","P_PLAN.Digitalis","P_PLAN.Veronica","P_POAC.Poaceae","P_POLY.Rumex","P_RANU.Ranunculus.group","P_ROSA.Filipendula","P_ROSA.Geum","P_ROSA.Potentilla.group","P_ROSA.Rosa","P_ROSA.Sorbus.group","P_ROSA.Spiraea","P_RUBI.Galium"
1,1,"S01_P01 1018598",1096.9820092,13,5985.0179908,0.034350246,1.36001976775676e-10,0.000915913312712073,0.946844452293217,1.18001715143601e-06,0.0247015350344404,2.44003546568125e-06,0.0125265450721301,1.62002354688673e-08,0.000753417950857588,6.24009069911926e-09,4.43006439056063e-07,4.59006671617907e-08,0.00168696051980921,4.79006962320213e-07,9.24013430446506e-09,1.45002107591714e-06,9.58013924640425e-08,0.000110781610200069,2.11003066909321e-06,8.79012776366319e-09,2.71003939016237e-07,0.000639471294653879,3.90005668694954e-09,1.09001584327564e-09,9.1901335777093e-07,0.00144609201880867,0.00102428888794065,0.000118903728254275,0.000512676451703009,5.94008633858468e-08,0.000908995212158145,2.16003139584898e-06,0.000206873006879295,2.74003982621583e-08,0.00759136733979551
1,2,"S01_P02 1018599",306.728595422,5,399.271404578,0.126938716,1.31115768102504e-05,1.12098977309011e-07,0.599691357900554,3.03267768969915e-06,0.218655975351308,1.42125489088211e-05,0.0177682554045509,9.39829818688944e-13,0.00245058273146386,1.66146698511571e-05,0.00032259483371846,0.00127349242464922,0.00947921863525066,2.61230652479036e-08,1.01089256323305e-08,0.00736148379039413,0.000240769586468963,1.9917586146869e-06,9.25817446525318e-05,9.49838655948677e-06,0.000210191587756752,1.70150233415464e-07,0.000434172350606239,7.85693724889053e-13,0.0144725254539915,0.00411404047431053,0.00104428404609897,0.089028638452722,0.00363188675876485,0.00628330681868252,8.62761771788999e-07,0.00385891621344366,0.0101234264357524,1.07094558679145e-10,0.00940265603463233
1,3,"S01_P03 1018600",108.99981143,12,1035.00018857,0.32075879,0.0089371114446766,0.176851320106812,0.318618271062404,5.77000545207815e-06,0.0262959348470288,0.0100546675006553,0.179522326630646,1.10000103939098e-09,2.97000280635565e-05,3.95000373235853e-07,7.0500066615513e-05,4.7000044410342e-05,0.0103388927692198,0.00106143900295371,1.47000138900431e-07,0.00702122163435232,0.0105602599783897,0.0161310122421935,2.10000198429187e-05,2.70000255123241e-07,0.015570266712345,0.00373220452656006,0.00986367432018587,0.0294352978134129,0.0253665349688389,0.0514307995969625,0.00724592884667817,1.52000143624936e-05,0.0182945822865508,0.00193136182494379,4.35000411031888e-07,3.66000345833727e-07,0.0715449906028616,2.90000274021259e-07,8.27000781433038e-07
1,4,"S01_P04 1018601",4279.899848,6,2429.100152,0.000975943,1.15002654702642e-13,0.000235140427943527,0.00107051771165735,2.08004801549126e-10,0.99685144815726,7.88018190484187e-05,8.01018490581008e-07,7.97018398243524e-14,3.33007687095475e-11,1.15002654702642e-11,7.06016297565782e-09,3.51008102614149e-12,7.73017844218625e-08,6.4101479708168e-07,5.12011819197847e-14,9.63022230249077e-11,1.82004201355485e-09,3.72008587385936e-08,7.21016643831344e-12,7.58017497953063e-12,3.19007363914284e-08,2.23005147814687e-08,6.48014958672276e-09,1.68003878174294e-08,2.25005193983429e-10,0.00162621253922668,6.0301391987559e-05,5.82013435103803e-08,7.37017013181277e-08,9.43021768561661e-12,4.18009649266993e-05,3.38007802517329e-05,1.74004016680518e-07,4.03009303001431e-15,2.68006186611373e-08
1,5,"S01_P05 1018602",98.174431476,6,2107.825568524,0.085676,9.09584558268665e-08,0.0513193960749368,0.291068733612659,7.03869203626971e-05,0.235238841831612,9.84206794756338e-05,0.00657664829088426,1.12941763332695e-09,0.313465340408909,4.59834322140256e-07,0.000443204655898118,6.26221741335744e-05,1.45210838570607e-05,1.76471505207335e-05,3.95296171664431e-08,8.81349117435491e-06,0.00164514098537066,0.00143168004426327,0.00372551414823848,2.63194644909226e-08,0.00746678568927907,0.000509834245812801,1.12941763332695e-06,0.00895291778118912,5.79834945681244e-07,0.0234259398759088,0.000336244772387652,0.0185771966979288,0.0341865924285064,0.00135079155672784,1.67395827796672e-06,8.8538275184023e-08,1.65379010594303e-06,4.98153848985278e-08,9.92274063565816e-07
1,6,"S01_P06 1018603",816.99834149,9,1108.00165851,0.017680401,0.00301552555302791,0.00897986058047583,0.877261360628812,0.000515360607221059,0.0747481790716683,0.00202251138301392,0.000555885654969494,1.20000141389567e-08,5.10000600905658e-08,1.20000141389567e-09,0.000760589896161242,1.42000167310987e-07,0.00548250245973111,0.000918946082743627,1.04000122537624e-08,0.00119607440926869,7.27000856585124e-05,0.00210056747498312,5.08000598549165e-08,2.03000239184017e-07,0.000833199981713712,0.00121065642644988,1.72000202658379e-06,0.0013312055684863,5.77000679848166e-05,0.00509459100267638,0.00258203504226988,0.00980485955252674,2.12000249788234e-08,8.43000993261705e-05,0.00122473844304195,4.83000569093006e-06,0.000139496164360658,1.5500018262819e-10,1.12000131963595e-07
1,7,"S01_P07 1018604",2318.90169808,151,2879.09830192,0.077839017,7.90370573719422e-08,0.227619006612236,0.425664386312347,2.59121491890292e-05,0.298234281341071,0.000976509847113911,0.0366989476951864,1.76082558195719e-10,0.00171891693263753,1.1605441335627e-07,0.000294697171929392,0.000296493013929172,3.66171683520644e-07,0.000398864011669289,3.10145415003824e-07,3.16148229487769e-06,2.49116801083717e-05,0.000230763195799055,5.54259870684253e-06,3.54166054552754e-08,1.46068485775995e-06,0.000398564871414172,0.000594925937405738,0.000343426018971896,0.000311538067964099,0.000903367553565203,0.00145532034254946,0.00104677879346297,0.00255057786578477,5.43254710797021e-07,3.67172152601301e-08,1.39065202211392e-07,0.000193146558835414,5.58261747006883e-06,1.29060511404817e-06
1,8,"S01_P08 1018609",702.274716352,153,799.725283648,0.036744639,5.2929633888442e-07,0.620930567062748,0.314137071379071,7.06730907033175e-06,0.0167432100363719,0.000217544805102246,0.00673963153098924,8.34042715817875e-08,0.0145560312547479,2.80687452438708e-08,6.00470657181379e-05,1.50368278092165e-05,1.273118087847e-05,0.000677766969307062,1.07262705039078e-08,7.67880673457322e-05,0.00145983238366441,0.000134795136757753,3.29807756615482e-06,4.58122020587462e-07,0.000512438049999914,6.91694079223959e-07,0.00138532490186974,0.00345203563627264,0.000190706072373169,0.00409055949236321,0.000492120288264101,0.00548115630606286,0.00377157424194961,0.00121297478643088,1.35331450282948e-07,2.71665355753178e-06,0.00143748966245029,7.51841390460825e-07,0.0021967963366908
1,9,"S01_P09 1018613",2021.8653348,0,992.1346652,0.004186186,2.54016734902076e-14,0.00393814644942257,0.684332751594879,1.31008630992803e-08,0.308441604472386,4.81031690897239e-05,0.0013964890022325,3.23021280997522e-14,3.35022071622817e-12,8.69057254448442e-14,8.08053235436526e-11,9.47062393512859e-10,3.20021083341199e-11,1.24008169794714e-07,6.61043550276663e-12,1.21007972138391e-12,1.24008169794714e-12,1.54010146357952e-05,2.84018711465314e-12,1.50009882816187e-12,1.99013111202808e-14,4.47029450792237e-11,4.04026617718263e-12,5.39035512252831e-14,6.28041376057102e-12,0.000827788535619824,0.000148538785898703,9.39061866429329e-10,4.28028198968853e-06,2.1701429714075e-12,0.000494666589179345,6.52042957307692e-10,7.44049018768287e-11,1.47009685159863e-15,0.000352090196089643
1,10,"S01_P10 1018607",5874.9907175,9,773.0092825,0.002612523,1.7500025591817e-06,0.00102195049448753,0.000849168241812942,9.50001389270067e-10,0.988113716005053,5.60000818938144e-05,0.00214011112967156,1.21000176949135e-12,6.26000915455854e-11,2.74000400694735e-12,2.69000393382787e-08,1.99000291015519e-07,0.000169262247526979,1.37000200347367e-05,1.99000291015519e-06,1.42000207659315e-08,6.8000099442489e-10,1.67000244219054e-08,2.78000406544293e-12,3.12000456265538e-11,6.98001020747902e-09,1.60000233982327e-12,1.95000285165961e-08,1.83000267617287e-15,3.03000443104032e-11,0.00610015492078973,0.000609406891188962,0.000724883060059857,1.47000214971263e-05,1.06000155013292e-05,1.35000197422588e-07,2.6300038460845e-07,9.57001399506793e-09,1.63000238369496e-13,0.000171914251405236
